rank,sport,C1,C2,C3,C4,C5,C6,C7,weighted_total,rounded_total,evidence_source_ids
1,Спортивное ориентирование,10,10,8,8,8,10,10,94,94,S01;S02;S03
2,Бег,8,10,10,10,10,7,10,89.5,90,S04
3,Настольный теннис,8,9,10,9,10,6,7,82.5,83,S05;S06
4,Бадминтон,8,8,9,8,10,7,7,80.5,81,S07;S08
5,Лыжные гонки,9,10,7,6,4,8,9,80,80,S09;S10
6,Велоспорт,8,9,7,5,7,9,7,77.0,77,S11;S12
7,Скалолазание,7,9,7,5,10,9,7,77.0,77,S13
8,Плавание,6,10,8,6,10,6,8,74,74,S14
9,Большой теннис,7,8,6,4,9,8,8,72,72,S15
10,Горные лыжи,9,9,5,2,3,9,6,70.0,70,S16;S17
